N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
151,8.1,517,7.46,0.43,0.86,16.0,0.36,0.38,1.92,2.88,0.59,1.4792,0
207,7.9,612,7.44,0.55,1.0,14.6,0.45,0.47,1.47,3.16,1.88,1.72,0
138,8.3,581,7.63,0.86,0.53,7.2,0.76,0.35,1.42,5.07,2.47,0.9116,0
182,10.7,708,7.48,0.57,1.11,14.2,0.59,0.92,1.15,6.69,0.65,1.9092,0
138,7.5,612,7.54,0.72,0.54,16.0,0.29,0.95,1.91,4.64,2.53,0.9288,0
207,8.3,370,7.52,0.44,1.03,17.4,0.31,0.81,1.43,4.98,2.41,1.7716,0
295,8.6,676,7.41,0.48,0.97,26.0,0.38,0.71,1.97,5.15,2.0,1.6684,1
289,5.7,338,7.64,0.57,0.72,14.6,0.18,1.06,0.92,2.46,1.85,1.2384,1
207,7,444,7.55,0.57,0.83,8.6,0.18,0.96,0.93,2.15,2.18,1.4276,0
138,8.1,718,7.48,0.63,0.94,12.6,0.19,1.02,1.15,2.24,2.47,1.6168,0
138,8.3,454,7.65,0.58,1.03,14.0,0.25,1.05,1.19,2.16,2.82,1.7716,0
82,7.9,496,7.37,0.51,1.06,11.0,0.2,1.03,1.04,2.35,1.82,1.8232,1
107,8.3,612,7.43,0.43,0.75,7.2,0.18,0.95,0.89,2.16,0.74,1.29,0
38,7,370,7.57,0.42,1.08,14.0,0.18,0.86,1.04,2.0,2.23,1.8576,1
88,7.2,655,7.46,0.44,1.0,13.1,0.18,0.78,1.03,2.27,1.94,1.72,2
19,5.3,708,7.38,0.29,1.06,12.8,0.17,0.76,0.92,2.88,2.21,1.8232,0
56,7.7,444,7.32,0.67,0.83,11.2,0.23,0.95,0.88,2.65,1.82,1.4276,0
50,8.3,475,7.36,0.34,0.83,11.6,0.43,0.59,0.89,2.2,1.32,1.4276,1
38,7.5,454,7.4,0.48,0.92,8.8,0.3,1.29,1.71,4.99,2.59,1.5824,0
25,8.1,591,7.33,0.43,0.78,14.0,0.46,0.35,1.74,2.38,2.29,1.3416,0
82,7.2,507,7.63,0.44,0.61,27.2,0.56,0.35,1.6,2.66,2.82,1.0492,1
88,7.7,708,7.52,0.37,0.78,21.0,0.19,0.74,1.43,2.42,2.29,1.3416,0
144,7.2,623,7.57,0.54,0.92,22.8,0.37,0.51,1.69,6.0,2.26,1.5824,0
213,8.6,718,7.59,0.68,0.86,23.0,0.3,0.46,1.53,9.53,2.82,1.4792,1
282,5.7,454,7.48,0.46,0.81,16.0,0.32,0.5,1.34,3.7,2.47,1.3932,1
264,9.4,475,7.52,0.43,0.78,14.8,0.27,0.61,1.41,2.88,2.41,1.3416,1
301,7,507,7.46,0.42,0.69,23.0,0.23,0.46,1.02,2.71,1.71,1.1868,1
226,7.5,348,7.62,0.31,0.75,11.3,0.78,0.4,1.04,2.43,1.29,1.29,0
307,5,327,7.58,0.56,0.61,11.6,0.46,0.68,1.14,2.79,1.23,1.0492,1
326,5.9,517,7.41,0.32,0.81,25.7,0.5,0.65,1.16,2.27,1.35,1.3932,1
251,5,391,7.59,0.62,0.89,11.7,0.56,0.64,1.03,7.75,1.38,1.5308,1
213,4.8,444,7.55,0.47,0.75,11.8,0.63,0.5,1.02,7.71,1.53,1.29,0
195,5.5,507,7.57,0.37,0.69,11.0,0.28,0.48,0.91,1.89,1.65,1.1868,0
31,5.9,581,7.33,0.71,0.83,11.2,0.37,0.54,1.13,1.99,1.59,1.4276,0
69,6.8,465,7.51,0.46,0.78,11.7,0.32,0.49,1.06,2.1,1.53,1.3416,0
182,7.5,391,7.57,0.53,0.78,11.8,0.37,0.53,1.02,7.77,1.32,1.3416,0
19,6.4,454,7.49,0.6,0.61,10.4,0.48,0.63,0.86,2.0,1.29,1.0492,0
132,5.5,655,7.31,0.71,0.67,11.0,0.38,1.07,1.71,4.43,2.41,1.1524,0
163,7.7,517,7.32,0.49,0.75,12.6,0.35,3.42,1.6,10.61,2.0,1.29,0
182,8.1,507,7.23,0.73,0.81,10.2,0.37,2.19,1.52,2.75,2.06,1.3932,0
295,5.5,433,7.34,0.46,0.75,13.6,0.42,0.6,1.22,2.53,2.26,1.29,1
201,5.7,253,7.51,0.63,0.83,3.2,0.44,0.77,1.16,3.76,2.12,1.4276,0
6,5,465,7.47,0.42,0.81,14.5,0.48,0.5,1.21,2.62,2.35,1.3932,0
56,6.6,401,7.46,0.57,0.89,9.0,0.47,0.64,1.18,3.66,2.18,1.5308,0
132,8.3,444,7.62,0.43,0.75,13.0,0.45,1.2,1.25,2.76,2.65,1.29,0
69,8.1,338,7.5,0.63,0.78,8.4,0.37,2.12,1.03,2.84,2.26,1.3416,0
270,7,391,7.4,0.61,0.67,27.1,0.42,1.18,1.04,2.76,1.62,1.1524,1
326,7.5,401,7.3,0.23,0.56,26.0,0.52,2.08,1.68,3.43,2.12,0.9632,1
351,8.6,454,7.5,0.38,0.72,19.5,0.48,2.06,1.26,2.77,1.85,1.2384,1
13,8.3,644,7.5,0.71,0.67,13.9,0.45,1.06,1.05,3.63,2.29,1.1524,0
314,8.1,454,7.4,0.59,0.75,23.9,0.36,0.59,1.25,2.76,2.21,1.29,1
282,8.3,465,7.4,0.76,0.61,2.5,0.38,0.74,1.43,2.74,0.94,1.0492,1
6,7.5,412,7.4,0.41,0.81,6.5,0.46,0.5,1.47,2.97,2.65,1.3932,0
270,8.6,486,7.4,0.67,0.89,28.6,0.71,0.59,1.24,2.89,2.41,1.5308,1
220,5.5,539,7.6,0.42,0.83,8.5,0.39,0.52,1.21,2.5,2.21,1.4276,0
151,4.8,454,7.3,0.77,0.75,8.0,0.36,0.67,1.24,2.76,2.06,1.29,0
201,5.3,507,7.6,0.53,0.39,10.86,0.32,9.32,0.69,9.03,0.69,0.6708,0
151,5.9,581,7.6,0.48,0.88,4.52,0.42,4.05,1.06,5.3,0.29,1.5136,0
75,7.9,327,7.8,0.66,0.1,7.24,0.5,7.32,0.87,6.32,0.4,0.172,0
232,5.9,275,7.7,0.43,0.68,5.43,0.47,6.52,1.52,8.05,0.32,1.1696,0
207,7.5,549,7.7,0.72,0.49,3.32,0.36,4.56,1.96,13.02,0.67,0.8428,0
264,6.4,496,7.9,0.38,0.78,3.92,0.52,8.06,1.32,14.52,0.46,1.3416,1
188,5,454,7.6,0.74,0.2,5.13,0.34,3.59,1.54,17.56,0.55,0.344,0
326,6.8,486,7.8,0.82,1.07,4.22,0.58,4.58,0.86,11.52,0.74,1.8404,1
295,4.8,327,7.6,0.43,0.88,3.32,0.42,7.63,0.51,9.03,0.86,1.5136,1
126,8.6,454,7.7,0.62,0.39,7.54,0.32,9.32,1.35,4.85,0.27,0.6708,0
207,6.8,327,7.6,0.71,0.68,7.84,0.57,4.02,1.25,6.32,0.23,1.1696,0
213,7.2,338,7.7,0.43,0.2,4.22,0.58,9.63,0.86,8.32,0.34,0.344,0
69,4.4,507,7.7,0.53,0.1,5.13,0.39,4.02,1.03,13.05,0.25,0.172,0
220,5.9,539,7.5,0.42,0.29,5.73,0.33,8.32,1.45,9.63,0.32,0.4988,0
163,8.1,496,7.5,0.77,1.17,6.33,0.51,6.03,1.32,7.63,0.4,2.0124,0
138,6.1,348,7.4,0.41,0.88,4.52,0.28,4.85,0.85,13.05,0.29,1.5136,0
88,7.5,444,7.5,0.76,0.1,7.84,0.52,4.05,1.63,7.63,0.34,0.172,0
195,4.8,422,7.4,0.52,0.29,5.73,0.33,8.32,1.45,9.63,0.32,0.4988,0
251,6.8,391,7.6,0.36,0.88,4.22,0.48,5.02,0.63,6.03,0.25,1.5136,0
207,7.5,412,7.4,0.61,0.1,5.73,0.52,9.32,1.02,11.63,0.78,0.172,0
195,6.6,433,7.5,0.6,0.49,9.65,0.39,7.15,1.58,12.02,2.29,0.8428,0
220,4.6,401,7.7,0.52,0.78,4.22,0.24,4.02,1.3,7.51,0.29,1.3416,0
251,7.5,380,7.6,0.76,1.07,10.86,0.28,5.21,0.69,12.21,0.53,1.8404,0
238,7,570,7.7,0.53,0.88,5.43,0.63,3.26,1.05,5.25,0.61,1.5136,0
119,8.3,444,7.6,0.76,0.49,7.84,0.41,4.05,2.02,4.85,0.46,0.8428,0
163,5.9,444,7.5,0.53,0.68,9.65,0.52,2.89,1.58,13.25,0.29,1.1696,0
207,8.3,612,7.5,0.46,0.2,4.22,0.35,6.32,0.68,8.5,0.55,0.344,0
138,5.9,602,7.5,0.42,1.17,5.13,0.6,7.51,0.78,6.32,0.74,2.0124,0
