N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
320,12.3,676,7.9,0.5,0.59,9.95,0.38,8.24,0.96,11.05,0.27,1.0148,1
251,6.6,444,7.5,0.63,0.39,5.43,0.42,1.78,1.03,6.32,0.4,0.6708,0
339,5.7,697,8.0,0.65,0.68,8.75,0.32,6.25,1.85,15.47,0.42,1.1696,1
326,11.2,539,7.3,0.21,0.1,6.33,0.52,4.12,1.49,3.05,0.29,0.172,1
289,7.5,708,8.1,0.37,0.59,4.22,0.38,6.58,1.3,12.06,0.46,1.0148,1
314,9.2,370,7.4,0.69,0.39,5.43,0.24,2.51,0.52,11.48,0.32,0.6708,1
345,8.3,560,7.8,0.51,0.2,6.94,0.39,7.5,1.23,14.21,0.44,0.344,1
270,6.6,338,7.1,0.42,1.07,4.52,0.5,3.02,0.87,9.33,0.36,1.8404,1
195,4.8,422,7.9,0.56,0.88,8.45,0.39,4.51,0.69,6.54,0.48,1.5136,0
364,12.9,401,8.4,0.54,0.2,9.35,0.45,1.02,1.05,12.03,0.59,0.344,1
314,8.1,570,8.1,0.78,0.68,5.13,0.22,2.25,1.56,15.26,0.27,1.1696,1
358,7.2,327,8.2,0.5,0.29,7.24,0.37,3.15,0.86,6.32,0.21,0.4988,1
257,11.2,412,8.0,0.31,1.07,5.43,0.45,6.21,1.32,11.54,0.29,1.8404,0
245,5.9,686,7.9,0.56,0.68,7.84,0.61,7.45,1.47,9.03,0.53,1.1696,0
276,5.5,348,7.3,0.62,0.2,3.92,0.28,5.32,0.74,2.78,0.4,0.344,1
326,11.2,708,7.4,0.55,0.59,5.43,0.32,6.03,0.86,13.26,0.31,1.0148,1
282,5.3,834,7.5,0.58,0.39,9.35,0.28,2.15,1.32,7.05,0.53,0.6708,1
270,6.1,697,7.0,0.4,0.68,6.64,0.51,2.14,0.96,9.21,0.52,1.1696,1
295,4.4,634,7.9,0.53,1.17,5.13,0.46,3.21,1.25,14.05,0.48,2.0124,1
289,5.7,612,7.5,0.67,0.59,11.76,0.39,5.21,1.3,2.68,0.44,1.0148,1
314,11.8,359,7.6,0.52,1.27,6.33,0.52,2.15,0.86,3.59,0.27,2.1844,1
245,6.6,655,7.8,0.59,0.1,5.13,0.3,1.05,0.59,7.12,0.55,0.172,0
257,7.2,697,7.9,0.64,0.78,6.64,0.29,2.06,0.47,16.03,0.73,1.3416,0
301,6.4,327,8.1,0.67,0.39,9.05,0.32,3.32,0.9,14.59,0.5,0.6708,1
351,12.3,475,7.4,0.45,0.88,8.45,0.47,1.58,1.59,2.15,0.46,1.5136,1
276,7.2,348,7.5,0.69,0.2,10.26,0.56,2.69,1.36,9.32,0.29,0.344,1
264,6.1,644,7.6,0.33,0.68,9.95,0.28,3.21,1.87,11.05,0.32,1.1696,0
358,11.4,401,7.8,0.54,0.49,8.45,0.31,3.57,0.86,7.36,0.21,0.8428,1
220,7,634,7.9,0.62,0.1,4.52,0.22,2.6,1.59,14.52,0.53,0.172,0
270,7.7,771,7.1,0.2,0.78,8.75,0.35,7.32,2.02,19.03,0.44,1.3416,1
245,5.5,391,7.8,0.54,0.29,11.46,0.39,6.21,1.45,11.25,0.29,0.4988,0
251,6.4,655,7.5,0.68,1.07,4.52,0.28,4.51,0.63,2.69,0.46,1.8404,0
301,8.1,729,7.6,0.36,0.88,7.84,0.54,5.32,0.85,8.12,0.34,1.5136,1
270,11.8,781,7.4,0.46,1.17,9.95,0.33,6.02,1.09,13.25,0.32,2.0124,1
257,6.6,401,7.9,0.61,0.1,8.45,0.38,4.96,1.57,9.36,0.5,0.172,0
264,7.9,380,7.2,0.33,0.88,11.16,0.49,3.51,0.96,10.85,0.21,1.5136,1
276,11.2,475,7.5,0.35,0.39,4.52,0.52,6.32,0.54,8.62,0.34,0.6708,1
270,8.6,454,7.52,0.41,0.68,7.84,0.66,4.21,1.08,11.47,0.44,1.1696,1
213,7.5,306,7.63,0.51,0.59,8.45,0.39,3.2,1.77,9.63,0.32,1.0148,0
157,6.8,760,7.71,0.73,0.2,6.33,0.54,1.6,0.39,18.05,0.36,0.344,0
207,7.5,306,7.72,0.72,0.39,10.56,0.26,3.25,1.25,4.85,0.21,0.6708,0
151,7.2,465,7.53,0.43,1.17,8.14,0.37,4.15,0.98,7.32,0.34,2.0124,0
201,7.7,507,7.82,0.43,0.78,7.84,0.55,6.32,0.63,13.85,0.25,1.3416,0
220,9,338,7.52,0.84,0.1,3.92,0.42,2.85,1.54,11.25,0.17,0.172,0
207,8.6,454,7.44,0.41,0.88,4.22,0.6,3.02,0.87,6.32,0.5,1.5136,0
151,7.9,380,7.42,0.62,0.29,5.43,0.28,4.15,0.63,7.54,0.25,0.4988,0
163,6.1,296,7.34,0.44,0.39,7.24,0.33,9.62,0.42,15.22,0.53,0.6708,0
276,8.6,486,7.52,0.52,0.68,4.83,0.38,4.15,1.02,9.02,0.27,1.1696,1
270,8.3,465,7.29,0.63,0.1,8.45,0.45,7.62,1.63,11.52,0.42,0.172,1
69,8.1,422,7.42,0.53,0.59,6.33,0.41,3.52,0.89,18.63,0.32,1.0148,0
307,103.1,232,7.25,0.82,0.49,5.13,0.27,6.25,1.02,10.25,0.21,0.8428,1
31,78.9,433,7.72,0.62,0.29,8.75,0.33,4.05,0.54,6.32,0.25,0.4988,0
320,63.6,306,7.61,0.42,1.07,10.86,0.28,8.35,0.78,7.54,0.53,1.8404,1
314,61.4,359,7.35,0.42,0.88,5.13,0.56,3.14,1.02,14.02,0.59,1.5136,1
270,70.2,750,7.77,0.34,0.39,6.33,0.35,6.52,1.86,18.52,0.27,0.6708,1
276,68,296,7.65,0.53,0.68,8.75,0.29,4.12,1.32,11.25,0.4,1.1696,1
270,65.8,306,8.02,0.64,0.2,11.16,0.36,8.06,0.93,9.62,0.53,0.344,1
69,74.6,454,7.72,0.56,0.59,7.54,0.24,3.45,1.25,8.05,0.21,1.0148,0
276,81.1,380,7.71,0.71,0.78,3.92,0.35,2.21,1.54,4.51,0.5,1.3416,1
270,68,317,7.51,0.53,1.07,8.45,0.28,1.59,0.84,6.32,0.25,1.8404,1
301,63.6,327,7.7,0.53,0.88,4.22,0.57,6.32,1.25,14.25,0.32,1.5136,1
270,70.2,401,7.51,0.7,1.17,6.64,0.49,4.02,0.36,7.54,0.36,2.0124,1
276,61.4,422,7.44,0.54,0.88,4.83,0.26,1.87,0.87,11.25,0.21,1.5136,1
107,74.6,486,7.53,0.58,0.68,6.94,0.35,6.25,1.25,8.32,0.29,1.1696,0
75,59.2,549,7.5,0.46,0.1,10.56,0.28,3.05,0.93,6.32,0.69,0.172,0
207,74.6,686,7.41,0.57,1.07,4.22,0.51,4.2,1.25,9.25,0.46,1.8404,1
100,74.6,412,7.51,0.45,0.78,7.54,0.26,3.54,1.63,14.25,0.29,1.3416,0
207,78.9,718,7.29,0.52,0.2,5.43,0.37,6.02,0.85,18.22,0.46,0.344,1
144,81.1,401,7.41,0.61,0.68,6.64,0.44,7.51,1.25,10.25,0.34,1.1696,0
213,98.7,359,7.34,0.82,0.88,3.92,0.51,3.21,1.03,3.28,0.63,1.5136,1
201,74.6,454,7.33,0.56,0.39,7.84,0.28,6.54,1.87,9.63,0.29,0.6708,1
151,85.5,422,8.12,0.46,0.49,9.65,0.36,7.02,0.84,14.52,0.55,0.8428,0
144,70.2,581,7.43,0.53,0.29,5.13,0.29,5.12,1.25,10.25,0.61,0.4988,0
282,72.4,549,7.62,0.63,0.1,3.32,0.37,6.32,1.63,7.54,0.46,0.172,1
207,76.8,560,7.42,0.42,0.78,7.54,0.48,4.15,1.02,13.25,0.29,1.3416,1
220,9,454,7.03,0.53,0.68,3.62,0.22,9.03,1.87,10.58,0.21,1.1696,0
276,12.9,401,7.91,0.52,0.2,7.54,0.26,2.15,0.84,6.33,0.71,0.344,1
282,13.2,433,7.02,0.81,0.1,4.22,0.37,6.32,0.93,14.25,0.29,0.172,1
264,12.1,560,7.44,0.53,1.07,10.86,0.48,1.25,1.02,10.25,0.42,1.8404,1
195,9.4,539,7.58,0.76,0.88,8.75,0.56,7.02,1.33,7.54,0.34,1.5136,0
188,9.2,444,7.32,0.49,0.59,3.92,0.52,3.25,1.58,6.32,0.74,1.0148,0
226,9,422,7.43,0.71,0.88,8.14,0.48,5.22,0.78,9.25,0.42,1.5136,0
213,9.6,729,7.8,0.49,0.2,4.22,0.37,8.33,0.65,10.25,0.29,0.344,0
201,9,454,7.01,0.47,0.68,6.64,0.54,1.56,1.25,8.54,0.46,1.1696,0
207,7.7,465,7.51,0.62,0.29,4.83,0.28,6.32,0.98,15.26,0.32,0.4988,0
220,12.3,760,7.02,0.65,0.24,23.9,0.16,0.76,0.36,4.65,0.53,0.4128,0
276,9.4,486,7.04,0.74,0.24,23.9,0.16,0.76,0.36,4.65,0.53,0.4128,1
226,10.3,612,7.05,0.48,0.41,4.5,0.31,0.44,0.44,6.2,0.71,0.7052,0
207,9.4,813,7.01,0.38,0.46,9.9,0.39,0.39,0.52,5.37,0.64,0.7912,1
270,11.4,655,7.05,0.62,0.51,7.1,0.44,1.11,0.23,1.88,1.17,0.8772,1
295,10.7,644,7.08,0.73,0.57,6.7,0.44,0.42,0.51,6.33,0.85,0.9804,1
238,8.3,412,7.06,0.36,0.7,4.6,0.31,0.34,0.63,7.13,0.65,1.204,0
207,9.4,444,7.1,0.64,0.51,10.8,0.38,0.27,0.61,6.41,0.77,0.8772,0
182,9.2,465,7.4,0.6,0.51,6.8,0.42,1.24,0.31,10.23,0.84,0.8772,0
232,8.8,665,7.5,0.37,0.41,4.7,0.5,0.21,0.21,2.11,0.51,0.7052,0
289,10.7,475,7.35,0.63,0.24,3.7,0.4,0.31,0.38,6.11,0.31,0.4128,1
195,12.5,507,7.34,0.51,0.46,4.8,0.36,0.51,0.35,10.22,0.52,0.7912,0
207,10.7,391,7.29,0.82,0.62,4.7,0.41,1.09,0.42,3.52,0.91,1.0664,0
238,9.9,623,7.28,0.58,0.27,29.8,0.23,0.65,0.23,4.79,0.5,0.4644,0
201,11.4,834,7.25,0.47,0.41,5.4,0.41,0.61,0.24,6.62,0.52,0.7052,0
345,9.6,422,7.37,0.49,0.38,7.1,0.37,1.71,0.27,6.23,0.77,0.6536,1
238,10.3,454,7.41,0.66,0.68,2.7,0.4,1.32,0.38,3.12,0.85,1.1696,0
201,10.5,444,7.28,0.88,0.46,6.6,0.34,1.31,0.47,6.33,0.77,0.7912,0
232,9.9,454,7.45,0.39,0.65,6.6,0.42,3.11,0.39,1.17,1.29,1.118,0
314,8.3,486,7.41,0.42,0.57,5.9,0.35,1.02,0.41,9.86,0.71,0.9804,1
245,9.2,391,7.58,0.81,0.84,17.1,0.31,1.22,0.44,3.14,0.87,1.4448,0
351,7.2,581,7.8,0.56,0.54,8.4,0.42,1.12,0.33,1.11,1.13,0.9288,1
264,9.9,454,7.4,0.33,0.73,5.1,0.42,0.81,0.23,4.0,1.44,1.2556,1
364,7,391,7.9,0.57,0.51,6.7,0.34,0.53,0.31,1.72,1.22,0.8772,1
377,8.1,549,7.5,0.62,0.32,12.7,0.28,0.96,0.26,3.31,0.43,0.5504,1
282,5.3,697,7.6,0.58,0.46,6.4,0.3,0.34,0.22,1.88,0.07,0.7912,1
276,8.6,570,7.5,0.36,0.59,3.4,0.42,0.79,0.2,3.16,1.36,1.0148,1
320,3.9,507,7.4,0.34,0.51,4.7,42.0,44.0,0.42,1.22,1.17,0.8772,1
276,7.9,433,7.9,0.61,0.41,5.9,0.4,0.41,0.22,1.21,1.12,0.7052,1
370,12.7,317,8.1,0.52,0.46,6.7,0.24,0.52,0.27,1.31,1.23,0.7912,2
207,7,623,7.5,0.59,0.43,8.9,0.42,0.62,0.27,3.11,1.32,0.7396,0
169,6.8,602,8.3,0.44,0.22,4.1,0.37,0.24,0.33,3.42,2.13,0.3784,0
345,4.4,686,8.0,0.56,0.35,7.7,0.4,0.22,0.24,2.71,1.12,0.602,1
333,7.2,560,7.6,0.51,0.59,5.9,0.4,0.81,0.24,1.13,1.42,1.0148,1
188,11.4,602,7.9,0.6,0.51,3.7,0.41,0.62,0.34,2.44,1.88,0.8772,0
364,6.8,444,7.5,0.55,24.0,8.2,38.0,34.0,0.21,4.14,1.21,41.28,1
326,10.1,803,7.4,0.53,0.57,6.0,0.37,0.98,0.37,1.43,1.29,0.9804,1
351,8.1,570,7.3,0.3,0.51,4.7,0.34,0.3,0.41,4.23,2.11,0.8772,1
377,5.3,623,7.2,0.58,0.32,9.9,0.09,0.9,0.21,0.11,0.43,0.5504,1
307,8.6,750,7.4,0.63,0.73,4.4,0.38,0.58,0.32,3.31,0.86,1.2556,1
295,12.5,560,7.9,0.51,0.51,21.4,0.13,1.06,0.22,1.42,0.15,0.8772,1
213,7,718,7.5,0.47,0.3,1.8,0.22,1.29,0.09,3.09,0.33,0.516,0
226,4.4,760,7.8,0.32,0.57,5.9,0.42,0.21,0.22,3.41,0.73,0.9804,0
301,7.2,528,7.9,0.59,0.51,5.3,0.35,0.31,0.23,4.43,0.71,0.8772,2
314,6.8,602,7.4,0.55,0.19,17.2,0.2,0.73,0.25,31.0,0.47,0.3268,2
270,10.5,475,7.8,0.37,0.51,7.1,0.34,1.13,0.22,4.66,0.61,0.8772,2
295,7.9,623,7.3,0.54,0.19,17.0,0.13,4.82,0.17,10.6,0.25,0.3268,1
245,7.5,570,7.0,0.69,0.51,8.8,0.19,1.47,0.24,12.59,0.36,0.8772,1
282,12.9,612,7.9,0.51,0.41,6.6,0.41,1.29,0.33,6.21,0.61,0.7052,1
264,7.7,380,7.2,0.36,0.32,6.8,0.19,1.02,0.19,18.82,0.46,0.5504,1
339,8.1,560,7.5,0.73,0.54,2.4,0.43,0.6,0.19,2.69,1.3,0.9288,1
289,7,444,7.6,0.58,0.46,4.7,0.46,1.09,0.27,6.31,0.35,0.7912,1
320,65.8,528,7.5,0.52,0.49,1.5,0.11,1.14,0.2,13.92,0.29,0.8428,2
345,76.8,676,7.1,0.7,0.38,8.2,0.34,0.83,0.27,6.13,0.32,0.6536,2
333,7.2,549,7.4,0.66,0.46,7.2,0.28,1.87,0.27,13.38,0.47,0.7912,1
301,111.8,486,7.5,0.54,0.43,6.5,0.25,1.57,0.23,18.71,0.35,0.7396,1
314,7.9,581,7.9,0.58,0.49,4.8,0.4,0.68,0.21,8.91,1.24,0.8428,1
326,7.5,612,8.2,0.5,0.57,1.6,0.22,2.18,0.14,18.06,0.5,0.9804,1
358,8.3,517,8.1,0.45,0.46,7.1,0.22,1.61,0.3,13.14,0.41,0.7912,1
320,6.6,602,8.0,0.52,0.35,7.2,0.34,0.49,0.31,1.27,0.47,0.602,1
370,125,528,8.1,0.57,0.51,2.7,0.26,1.85,0.1,0.26,0.38,0.8772,2
339,6.8,560,8.0,0.61,0.62,8.9,0.07,1.5,0.19,30.48,0.35,1.0664,1
226,15.1,549,7.2,0.59,0.46,5.1,0.36,1.7,0.29,6.59,1.69,0.7912,1
326,7.5,433,8.1,0.76,0.41,27.3,0.23,1.22,0.38,1.38,0.49,0.7052,1
232,11.4,570,8.1,0.54,0.41,7.1,0.31,0.63,0.42,4.32,1.13,0.7052,1
220,7.7,517,8.3,0.73,0.46,6.4,0.35,0.53,0.42,3.77,0.86,0.7912,0
301,7.2,591,8.0,0.75,0.32,31.0,0.19,1.24,0.34,14.31,0.43,0.5504,1
351,5.7,581,7.4,0.61,0.78,5.8,0.44,1.13,0.22,21.32,1.49,1.3416,1
282,12.7,465,7.5,0.63,0.3,24.4,0.09,1.03,0.25,9.35,0.39,0.516,1
364,7.7,602,7.9,0.53,0.32,10.78,0.7,1.21,0.22,7.45,0.34,0.5504,1
339,11,623,8.3,0.67,0.32,3.7,0.28,1.36,0.18,13.92,0.19,0.5504,2
383,118.4,665,8.1,0.6,0.65,8.7,0.4,0.67,0.34,3.13,1.41,1.118,2
370,7,528,7.5,0.56,0.73,7.1,0.37,0.74,0.38,1.14,1.35,1.2556,1
295,8.1,803,8.0,0.32,0.78,6.7,0.34,0.77,0.18,7.81,1.24,1.3416,1
270,9.4,539,8.3,0.69,0.76,5.9,0.31,0.81,0.23,1.29,0.79,1.3072,1
377,8.6,549,8.1,0.55,0.57,3.8,0.37,1.11,0.21,1.12,1.17,0.9804,1
220,7.2,507,8.0,0.38,0.78,4.7,0.4,0.72,0.17,14.02,1.26,1.3416,0
207,11.2,317,7.4,0.32,0.62,6.6,0.34,0.78,0.28,1.21,0.49,1.0664,0
264,7.7,539,7.9,0.49,0.65,4.4,0.36,0.83,0.28,1.01,0.57,1.118,1
220,7,781,7.5,0.54,0.76,1.5,0.32,0.77,0.18,8.14,1.29,1.3072,0
213,12.5,549,7.8,0.1,0.51,4.7,0.34,1.22,0.21,1.82,0.84,0.8772,1
370,6.6,591,7.3,0.38,0.65,0.64,0.36,0.77,0.18,2.11,1.18,1.118,1
383,14,718,7.8,0.41,0.62,7.1,0.37,0.66,0.22,2.31,1.31,1.0664,2
351,8.6,771,7.9,0.45,0.59,4.9,0.38,0.74,0.22,3.13,0.65,1.0148,1
377,11.2,623,7.8,0.64,0.54,3.8,0.37,0.88,0.31,1.13,0.85,0.9288,2
364,11.4,602,7.3,0.33,0.7,1.2,0.34,0.88,0.26,13.71,1.51,1.204,2
333,12.3,686,7.4,0.57,0.41,6.4,0.34,1.29,0.27,0.84,1.27,0.7052,1
301,6.8,539,7.5,0.3,0.57,4.7,0.4,1.13,0.3,8.14,0.8,0.9804,1
201,8.3,591,7.6,0.68,0.57,5.9,0.42,0.81,0.37,7.35,0.71,0.9804,0
358,10.7,665,7.3,0.62,0.62,4.1,0.44,0.67,0.27,10.61,1.49,1.0664,2
345,8.1,634,7.1,0.56,0.59,7.2,0.33,0.47,0.41,2.29,0.65,1.0148,1
370,7.2,581,7.3,0.34,0.49,5.5,0.36,1.33,0.31,8.23,0.71,0.8428,1
257,4.4,507,7.1,0.75,0.68,6.5,0.4,0.97,0.24,2.75,1.46,1.1696,0
339,8.3,549,7.5,0.31,0.65,8.4,0.44,0.44,0.31,3.17,1.27,1.118,1
377,7.9,602,7.8,0.55,0.86,6.3,0.42,0.69,0.83,7.6,1.84,1.4792,1
351,9.6,623,7.9,0.43,0.57,5.9,0.37,1.28,0.41,9.53,1.17,0.9804,1
339,6.8,570,7.5,0.79,0.59,1.7,0.13,1.45,0.33,2.72,0.36,1.0148,1
201,12.9,433,7.8,0.46,0.65,2.5,0.09,1.44,0.2,19.69,0.22,1.118,1
345,7.5,528,7.9,0.82,0.65,2.5,0.09,1.44,0.2,19.69,0.22,1.118,1
333,8.3,665,7.3,0.3,0.46,7.2,0.27,1.87,0.47,13.38,0.28,0.7912,1
351,7,549,7.5,0.37,0.3,6.3,0.21,0.71,0.5,3.11,0.09,0.516,1
295,14.5,612,8.2,0.38,0.49,7.54,0.36,2.25,0.69,12.36,0.48,0.8428,1
282,9.2,676,8.0,0.62,0.78,11.46,0.47,7.15,1.02,4.51,0.25,1.3416,1
257,11.6,433,7.4,0.73,0.1,4.22,0.25,3.26,1.24,9.62,0.42,0.172,1
270,12.1,401,7.9,0.36,0.78,8.45,0.21,9.05,0.77,14.55,0.17,1.3416,1
289,14.5,549,7.3,0.64,1.07,11.16,0.34,4.55,0.53,6.32,0.29,1.8404,1
301,13.6,496,7.8,0.6,0.88,8.45,0.51,6.28,1.25,17.54,0.46,1.5136,1
295,12.5,412,7.2,0.37,0.39,6.64,0.27,1.05,1.39,11.58,0.25,0.6708,1
276,15.4,433,7.3,0.63,0.88,5.43,0.33,6.25,0.54,7.54,0.31,1.5136,1
326,13.4,454,7.9,0.51,0.49,7.84,0.28,8.25,0.33,13.02,0.32,0.8428,1
270,13.8,845,7.5,0.82,0.1,3.32,0.45,1.32,0.78,8.54,0.42,0.172,1
289,14.7,750,8.1,0.58,0.68,5.13,0.37,4.51,0.59,11.63,0.31,1.1696,1
314,8.3,591,8.0,0.47,1.07,11.76,0.25,3.25,0.62,19.52,0.61,1.8404,1
345,9.9,507,7.9,0.49,0.78,8.45,0.59,7.54,0.37,14.33,0.34,1.3416,1
307,6.8,370,7.3,0.66,0.2,7.24,0.51,6.05,1.36,10.56,0.42,0.344,1
339,7.5,475,7.2,0.88,0.78,4.83,0.34,8.21,1.07,7.54,0.55,1.3416,1
314,10.3,676,7.9,0.39,0.1,3.32,0.28,3.25,1.94,9.36,0.67,0.172,1
333,12.7,887,7.4,0.42,0.68,5.43,0.34,1.96,2.01,14.52,0.34,1.1696,1
351,14.3,560,7.6,0.37,1.07,8.14,0.28,1.05,0.87,13.26,0.48,1.8404,1
358,10.1,602,7.8,0.32,0.29,9.95,0.33,2.51,0.51,10.85,0.42,0.4988,1
301,10.3,412,7.3,0.77,0.78,4.22,0.52,7.15,0.39,7.54,0.74,1.3416,1
326,11.8,444,7.4,0.4,0.1,8.45,0.48,3.25,0.46,9.55,0.88,0.172,1
314,8.1,644,7.8,0.61,0.88,3.92,0.29,9.02,1.12,8.52,0.29,1.5136,1
320,8.6,380,7.94,0.69,0.29,8.45,0.41,4.15,0.77,4.15,0.5,0.4988,1
358,12.9,422,7.02,0.48,0.68,9.95,0.39,3.22,0.91,6.32,0.65,1.1696,1
345,13.6,444,7.85,0.38,0.1,5.13,0.35,6.21,0.63,12.05,0.34,0.172,1
314,14.9,359,7.04,0.43,0.78,6.33,0.42,4.15,0.54,10.52,0.42,1.3416,1
333,13.8,401,7.62,0.51,0.59,10.56,0.51,2.11,0.71,8.54,0.31,1.0148,1
339,8.3,380,7.67,0.32,0.39,10.26,0.33,8.02,1.25,3.25,0.52,0.6708,1
326,10.3,507,7.88,0.71,0.1,4.52,0.28,3.02,1.09,7.15,0.67,0.172,1
351,10.7,623,7.96,0.51,0.29,8.45,0.22,4.51,0.38,9.06,0.34,0.4988,1
301,14.3,370,7.05,0.95,0.88,5.13,0.34,6.25,1.22,15.32,0.55,1.5136,1
251,13.2,496,7.87,0.4,0.39,10.26,0.29,1.25,0.94,11.56,0.21,0.6708,1
326,12.7,454,7.01,0.42,0.2,6.64,0.43,7.15,0.37,17.32,0.52,0.344,1
289,16,327,7.03,0.5,0.49,5.43,0.51,3.02,1.22,10.58,0.74,0.8428,1
276,17.3,454,7.91,0.46,1.07,6.33,0.33,4.15,1.06,12.56,0.27,1.8404,1
245,6.6,475,7.02,0.51,0.78,5.13,0.28,3.25,0.93,7.54,0.53,1.3416,1
345,12.7,412,7.44,0.29,0.39,11.76,0.24,8.06,0.57,16.32,0.25,0.6708,1
320,14.3,465,7.58,0.44,0.49,4.52,0.39,6.21,1.22,14.05,0.55,0.8428,1
270,13.2,422,7.32,0.68,0.59,3.92,0.45,1.05,1.05,19.32,0.65,1.0148,1
333,14.3,507,7.43,0.61,0.88,7.24,0.37,1.26,1.37,12.03,0.29,1.5136,2
358,13.2,444,7.8,0.29,0.49,4.52,0.26,5.26,1.25,6.25,0.48,0.8428,2
245,13.8,391,7.01,0.64,0.88,7.84,0.35,1.25,0.96,12.03,0.23,1.5136,1
314,12.7,591,7.51,0.56,0.1,9.65,0.42,3.02,0.53,7.54,0.53,0.172,1
307,12.9,539,7.34,0.85,1.07,4.52,0.53,7.54,1.22,4.51,0.61,1.8404,1
326,14.9,655,7.37,0.87,0.78,7.24,0.47,6.33,0.63,8.22,0.27,1.3416,1
320,14.3,422,7.41,0.42,0.59,3.32,0.25,1.52,1.52,12.05,0.5,1.0148,1
345,10.5,570,7.43,0.42,0.68,5.13,0.36,4.52,1.02,6.32,0.34,1.1696,1
307,11.6,496,7.52,0.93,0.2,8.45,0.54,9.62,0.84,9.33,0.44,0.344,1
295,2.9,612,7.35,0.52,0.39,9.95,0.48,8.05,0.63,15.25,0.32,0.6708,1
276,10.7,655,7.47,0.51,1.07,7.84,0.26,10.22,0.75,14.22,0.4,1.8404,1
301,12.7,422,8.19,0.57,0.29,4.22,0.35,6.32,1.02,13.25,0.29,0.4988,1
282,15.6,602,7.38,0.82,0.88,8.45,0.29,4.51,0.74,8.54,0.42,1.5136,1
295,13.4,412,7.35,0.7,0.49,9.95,0.22,7.54,0.93,11.25,0.34,0.8428,1
326,11.8,444,8.02,0.75,0.78,7.54,0.57,2.02,1.24,21.02,0.46,1.3416,1
358,12.5,581,7.42,0.85,0.2,8.14,0.46,1.89,1.05,10.25,0.5,0.344,1
314,6.6,444,7.23,0.28,0.59,4.22,0.35,3.22,0.87,7.54,0.63,1.0148,1
301,9.4,517,8.1,0.38,0.1,6.64,0.26,7.54,1.32,6.23,0.8,0.172,1
220,9,454,7.29,0.84,0.29,4.52,0.39,4.15,0.84,8.05,0.29,0.4988,1
276,12.9,401,7.35,0.85,0.68,3.92,0.22,3.02,1.28,14.21,0.42,1.1696,1
282,13.2,433,7.34,0.59,0.88,8.45,0.41,8.05,1.36,9.02,0.61,1.5136,1
264,12.1,560,7.9,0.63,0.39,4.22,0.33,3.22,0.75,11.65,0.29,0.6708,1
195,94.3,539,7.49,0.42,0.59,6.64,0.53,7.12,0.87,4.25,0.53,1.0148,0
188,92.1,444,7.34,0.43,0.2,7.84,0.34,6.33,1.25,9.6,0.27,0.344,0
226,89.9,422,7.37,0.62,0.49,4.52,0.57,9.21,1.36,13.52,0.42,0.8428,1
213,96.5,729,7.41,0.38,1.07,5.73,0.49,6.3,1.27,6.21,0.32,1.8404,1
201,89.9,454,7.43,0.53,0.78,6.94,0.55,8.21,2.01,7.54,0.17,1.3416,1
207,76.8,465,7.52,0.69,0.68,4.22,0.38,4.56,0.54,3.25,0.5,1.1696,1
264,12.1,1560,7.9,0.63,0.39,4.22,0.33,3.22,0.75,11.65,0.29,0.6708,1
220,122.8,760,7.35,0.67,0.68,7.54,0.42,7.02,0.96,8.05,0.25,1.1696,1
276,94.3,486,7.47,0.41,0.49,3.92,0.28,3.85,1.25,11.03,0.42,0.8428,1
226,103.1,612,8.19,0.63,0.68,6.64,0.49,8.05,1.45,6.05,0.25,1.1696,1
207,94.3,813,7.38,0.34,0.1,4.52,0.52,6.96,0.74,9.21,0.29,0.172,1
270,114,655,7.35,0.39,0.59,9.95,0.45,7.41,1.32,8.12,0.46,1.0148,1
295,107.5,644,8.02,0.42,0.49,4.52,0.33,8.02,1.96,12.36,0.36,0.8428,1
238,83.3,412,7.42,0.72,0.88,6.64,0.5,4.58,2.05,6.35,0.69,1.5136,1
207,94.3,444,7.23,0.49,0.39,4.22,0.41,9.63,1.54,11.06,0.53,0.6708,1
182,92.1,465,8.1,0.68,0.29,5.13,0.39,4.21,2.06,7.35,0.4,0.4988,0
232,87.7,665,7.29,0.75,0.1,7.84,0.48,7.53,0.75,15.21,0.55,0.172,1
289,107.5,475,7.35,0.43,0.88,3.62,0.52,6.3,0.48,6.03,0.34,1.5136,1
195,125,507,7.34,0.56,1.27,6.33,0.41,7.04,0.9,4.52,0.48,2.1844,2
207,107.5,391,7.29,0.58,0.59,4.52,0.27,8.62,1.25,12.32,0.23,1.0148,1
238,98.7,623,7.28,0.44,0.1,5.73,0.37,4.51,1.47,5.03,0.27,0.172,1
201,114,834,7.25,0.43,1.07,6.64,0.54,8.35,0.68,9.65,0.5,1.8404,1
345,96.5,422,7.37,0.62,0.2,5.43,0.48,7.05,0.6,6.32,0.34,0.344,2
238,103.1,454,7.41,0.46,0.88,4.22,0.52,6.51,0.53,11.05,0.21,1.5136,1
201,105.3,444,7.28,0.43,0.39,7.84,0.32,9.53,1.05,15.47,0.32,0.6708,1
232,98.7,454,7.45,0.44,0.59,3.92,0.24,4.51,0.68,3.05,0.5,1.0148,1
314,83.3,486,7.41,0.8,0.68,7.54,0.51,7.63,1.36,12.06,0.25,1.1696,2
195,94.3,813,7.33,0.74,0.29,4.22,0.38,3.52,1.89,11.48,0.4,0.4988,0
